QUESTIONS,ANSWERS
"With thieves I consort, With the Vilest, in short, I'm quite at ease in depravity, Yet all divines use me, And savants can't lose me, For I am the century of gravity.",V
"I move without wings, Between silken string, I leave as you find, My substance behind.",Spider
"What flies forever, Rests never?",Wind
"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",Sunlight
"I crawl on the earth. And rise on a pillar.",Shadow
"They are many and one, they wave and they drum, Used to cover a state, they go with you everywhere.",Hands
"What must be in the oven yet can not be baked? Grows in the heat yet shuns the light of day? What sinks in water but rises with air? Looks like skin but is fine as hair?",Yeast
"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, Yet I still hold water.",Sponge
"What can be swallowed, But can also swallow you?",Pride
"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.",Birthday
"I run around the city, but I never move.",Wall
"As a whole, I am both safe and secure. Behead me, I become a place of meeting. Behead me again, I am the partner of ready. Restore me, I become the domain of beasts.",Stable
"Two horses, swiftest traveling, harnessed in a pair, and grazing ever in places. Distant from them.",Eyes
"At the sound of me, men may dream. Or stamp their feet. At the sound of me, women may laugh. Or sometimes weep.",Music
"To unravel me you need a simple key, no key that was made by locksmith's hand. But a key that only I will understand.",Riddle
"Long and think, red within, with a nail at the end.",Finger
"I'm sometimes white and always wrong. I can break a heart and hurt the strong. I can build love or tear it down. I can make a smile or bring a frown.",Lie
"You can tumble in it, roll in it, burn it, animal eat it. Used to cover floors, still used beyond stall doors. Freshens whatever it is placed on. Absorbs whatever is poured into it.",Hay
"I come in winter. I cannot see, hear, or feel. I can't eat, But you can eat parts of me.",Snowman
"Sometimes I am loud. And viewed with distaste. Poke out my 'eye', then I'm on the front of your face.",Noise
"What is it that has four legs, one head, and a foot?",Bed
"What makes a loud noise when changing its jacket. Becomes larger but weighs less?",Popcorn
"I am always hungry, I must always be fed. The finger I lick will soon turn red.",Fire
"Something wholly unreal, yet seems real to I. Think my friend, tell me where does it lie?",Mind
"No matter how little or how much you use me, you change me every month.",Calendar
"What can burn the eyes, sting the mouth, yet be consumed?",Salt
"What an fill a room but takes up no space?",Light
"It occurs once in every minute. Twice in every moment and yet never in one hundred thousand years.",M
"With pointed fangs it sits in wait. With piercing force it doles out fate, over bloodless victims proclaiming its might. Eternally joining in a single bite.",Stapler
"It holds most knowledge that has ever been said. But is not the brain, is not the head. To feathers and their masters, it's both bane and boonOne empty, and one full.",Paper
"Upon me you can tread, though softly under cover. And I will take you places, that you have yet to discover. I'm high, and I'm low, though flat in the middle. And though a joy to the children, adults think of me little.",Stairs
"A mile from end to end, yet as close to as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short and tall. But shared among children most of all.",Smile
"I have a hundred legs, but cannot stand. I have a long neck, but no head. I cannot see. I'm neat and tidy as can be.",Broom
"Flat as a leaf, round as a ring. Has two eyes, can't see a thing.",Button
"I don't think or eat or slumber. Or move around or fear thunder. Just like you I look the same but I can't harm you or be your bane.",Doll
"In marble halls as white as milk, lined with a skin as soft as silk. Within a fountain crystal-clear. A golden apple doth appear. No doors there are to this stronghold, yet thieves break in and steal the gold.",Egg
"What is it that you must give before you can keep it.",Word
"I dig out tiny caves and store gold and silver in them. I also build bridges of silver and make crowns of gold. They are the smallest you could imagine. Sooner or later everybody needs my help. Yet many people are afraid to let me help them.",Dentist
"What is long and slim, works in light. Has but one eye, and an awful bite?",Needle
"What lies in a tunnel of darkness. That can only attack when pulled back?",Bullet
"What has six faces and twenty-one eyes?",Die
"Until I am measured. I am not known, yet how you miss me when I have flown.",Time
"Three lives have I. Gentle enough to soothe the skin. Light enough to caress the sky. Hard enough to crack rocks.",Water
"I wear a red robe, with staff in hand, and a stone in my throat.",Cherry
"A warrior amongst the flowers, he bears a thrusting sword. He uses it whenever he must, to defend his golden hoard.",Bee
"I hide but my head is outside.",Nail
"A house full, a yard full, a chimney full, no one can get a spoonful.",Smoke
"You can spin, wheel and twist. But this thing can turn without moving.",Milk
"Halo of water, tongue of wood. Skin of stone, long I've stood. My fingers short reach to the sky. Inside my heart men live and die.",Castle
"When they are caught, they are thrown away. When they escape, you itch all day.",Fleas
"What does man love more than life, fear more than death or mortal strife. What the poor have, the rich require, and what contented men desire. What the miser spends, and the spendthrift saves. And all men carry to their graves.",Nothing
"In we go, out we go. All around and in a row. Always, always steady flow. When we'll stop, you'll never known. In we go, out we go.",Tides
"A cloud was my mother, the wind is my father. My son is the cool stream, and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place. And I'm the torment of man.",Rain
"Born of earth, but with none of its strength. Molded by flame, but with none of its power. Shaped",Glass
